lab,sex,sexpref,age,behavior1,behavior2,behavior3,attitude1,attitude2,attitude3,desire1,desire2,desire3,sra
no,male,,35,2,3,2,1,1,1,5,2,1,7
no,male,men,45,2,5,5,5,5,5,5,5,4,5
no,female,,28,2,2,3,3,2,2,4,4,2,6
no,male,,55,2,2,2,1,2,5,5,2,4,4
no,female,,21,2,2,1,4,2,3,2,1,2,6
no,male,men,22,1,1,1,2,2,3,2,1,1,2
no,male,,36,1,3,4,4,4,5,5,3,2,5
no,female,,27,2,2,3,5,5,5,2,2,2,6
no,male,women,30,2,2,1,3,2,4,3,4,2,6
no,male,,34,1,1,3,4,3,4,5,5,3,5
no,male,,23,3,1,3,5,4,5,5,5,5,4
no,female,men,33,2,3,4,2,2,4,4,2,3,4
no,male,,41,2,2,3,4,4,4,4,4,4,6
no,male,women,35,1,1,1,2,2,3,3,2,1,4
no,female,,24,2,2,2,4,1,1,3,3,1,5
no,female,,37,2,2,1,1,1,3,3,2,1,6
no,female,,29,2,4,4,5,5,5,3,3,5,7
no,female,,39,1,1,1,1,1,1,1,1,1,3
no,male,,31,2,1,1,5,4,3,4,3,2,4
no,male,,36,3,4,4,5,4,5,4,3,2,5
no,male,women,31,3,1,1,3,3,3,5,4,5,5
no,male,either,33,2,3,3,5,5,5,5,4,5,5
no,female,,60,2,1,4,5,5,5,4,2,4,3
no,female,,33,4,2,3,3,4,3,5,5,2,4
no,male,men,25,1,5,5,5,3,5,5,4,4,3
no,male,women,45,2,3,4,3,3,4,3,3,2,4
no,male,women,28,2,1,1,4,4,4,3,2,2,5
no,male,women,32,2,1,1,3,3,5,5,5,5,5
no,female,men,20,2,1,1,3,2,2,2,1,2,3
no,female,men,39,2,1,3,5,1,2,3,2,1,5
no,male,women,45,3,2,3,5,4,5,2,3,3,6
no,male,women,30,2,3,4,3,2,4,4,2,3,5
no,female,either,21,2,1,1,2,1,1,4,3,2,7
no,female,men,35,2,2,3,2,2,4,2,2,1,5
no,male,women,21,1,1,1,1,2,1,4,3,3,6
no,male,women,36,1,1,1,3,2,3,1,1,1,2
no,male,,27,2,4,3,5,4,5,5,3,5,5
no,male,men,27,1,4,4,1,1,1,1,2,1,4
no,female,men,22,1,1,1,1,1,1,3,3,2,5
no,female,men,22,4,2,3,3,3,3,3,2,3,4
no,female,men,24,1,1,1,1,1,1,4,3,2,4
no,female,either,23,2,2,2,4,3,4,4,2,2,5
no,male,men,29,4,5,5,5,5,5,5,2,2,7
no,female,men,18,2,1,1,2,2,2,1,2,1,5
no,female,men,18,3,3,3,5,5,3,4,3,3,5
no,male,men,21,1,2,2,2,2,2,2,4,3,2
no,female,men,30,1,3,1,2,1,3,5,5,2,6
no,male,women,35,2,1,1,5,4,4,5,4,3,5
no,female,men,32,3,2,1,5,3,3,5,5,4,5
no,female,men,24,2,1,1,2,5,3,4,3,2,7
yes,female,men,22,2,1,1,5,5,5,2,2,1,4
no,male,men,26,3,3,3,1,5,5,3,3,5,6
no,female,men,26,2,3,4,5,5,5,5,2,5,6
no,female,men,18,1,1,1,4,2,2,4,2,2,4
no,female,men,26,1,1,2,4,3,3,3,4,1,6
no,female,men,20,2,2,1,4,4,4,1,3,1,5
no,male,women,30,2,1,2,5,5,5,5,5,5,5
